class_code,class_name,xgboost_60_km2,xgboost_72_km2,lightgbm_60_km2,lightgbm_72_km2,random_forest_60_km2,random_forest_72_km2
10,Hazelnut,1043.68,1079.87,1052.05,1085.66,1066.62,1098.30
20,Forest,2612.84,2538.08,2596.43,2520.00,2716.30,2653.50
30,Permanent crops,522.62,580.56,514.98,576.34,528.92,524.32
50,Grassland,321.01,365.27,332.13,387.89,190.73,235.16
60,Sparsely vegetated areas,294.66,271.74,303.00,266.99,207.00,203.75
70,Arable land,1140.00,1104.46,1121.73,1087.55,1252.59,1242.04
80,Artificial surfaces,230.25,206.27,228.48,203.39,230.59,204.71
90,Linear artificial surfaces,142.70,157.98,144.19,161.83,117.95,145.54
100,Rivers,16.73,17.50,15.94,16.94,13.64,13.02
110,Inland water bodies,16.93,17.34,18.58,17.52,18.24,19.47
120,Wetlands,13.60,15.95,27.49,30.88,12.42,15.20
