feature_count,model,overall_accuracy,all_class_f1,all_class_iou,hazelnut_precision,hazelnut_recall,hazelnut_f1,hazelnut_iou
72,XGBoost,95.49,95.43,92.35,96.79,98.51,97.64,95.39
72,CatBoost,95.08,94.97,91.63,95.35,98.38,96.84,93.88
72,LightGBM,95.44,95.41,92.28,96.77,98.42,97.55,95.22
72,Random Forest,94.90,94.67,91.16,94.71,98.26,96.45,93.13
72,Extra Trees,95.16,94.96,91.59,93.93,98.62,96.22,92.71
60,XGBoost,94.94,94.88,91.49,97.36,98.44,97.90,95.88
60,CatBoost,94.78,94.70,91.20,96.45,98.37,97.40,94.93
60,LightGBM,94.84,94.80,91.35,97.27,98.45,97.86,95.81
60,Random Forest,94.55,94.33,90.59,94.48,98.04,96.23,92.73
60,Extra Trees,94.71,94.54,90.88,92.91,98.37,96.32,92.91
