selection_basis,combination,overall_accuracy,all_class_f1,all_class_iou,hazelnut_precision,hazelnut_recall,hazelnut_f1,hazelnut_iou
All Classes (72 bands),K1,94.60,94.55,90.94,95.19,98.06,96.60,93.43
All Classes (72 bands),K2,92.64,92.41,87.98,93.40,97.12,95.22,90.88
All Classes (72 bands),K3,93.56,93.34,89.36,94.13,97.50,95.79,91.91
All Classes (72 bands),K4,92.80,92.41,88.17,95.02,98.26,96.61,93.45
All Classes (72 bands),K5,89.71,89.41,83.54,84.52,91.29,87.77,78.21
All Classes (60 bands),K1,94.49,94.39,90.80,96.27,98.20,97.22,94.59
All Classes (60 bands),K2,92.84,92.59,88.25,94.23,97.49,95.84,92.00
All Classes (60 bands),K3,93.04,92.76,88.35,93.23,97.28,95.21,90.87
All Classes (60 bands),K4,92.86,92.56,88.28,95.17,98.10,96.61,93.45
All Classes (60 bands),K5,89.72,89.45,83.36,88.03,91.02,89.50,80.99
Hazelnut (72 bands),K1,94.24,94.39,90.81,95.16,98.20,96.66,93.53
Hazelnut (72 bands),K2,92.57,92.20,87.32,92.32,97.15,94.67,89.88
Hazelnut (72 bands),K3,93.08,92.75,88.71,94.82,97.52,96.15,92.58
Hazelnut (72 bands),K4,92.86,92.46,88.26,95.09,98.26,96.65,93.52
Hazelnut (72 bands),K5,90.55,90.04,84.65,86.72,94.26,90.33,82.37
Hazelnut (60 bands),K1,93.98,93.87,90.07,95.62,97.78,96.69,93.58
Hazelnut (60 bands),K2,92.23,91.99,87.31,93.02,97.56,95.24,90.91
Hazelnut (60 bands),K3,92.61,92.43,87.86,93.53,97.09,95.28,90.98
Hazelnut (60 bands),K4,92.86,92.56,88.28,95.17,98.10,96.61,93.45
Hazelnut (60 bands),K5,91.00,90.59,85.35,91.31,93.35,92.32,85.73
