band_count,period,overall_accuracy,all_class_f1,all_class_iou,hazelnut_precision,hazelnut_recall,hazelnut_f1,hazelnut_iou
12,Period 1,88.95,88.25,81.52,75.93,81.09,78.43,64.51
12,Period 2,89.98,89.17,83.25,81.10,86.56,83.74,72.03
12,Period 3,91.37,91.04,85.99,92.37,95.92,94.11,88.87
12,Period 4,91.68,91.29,86.53,94.12,97.40,95.73,91.81
12,Period 5,91.27,90.85,85.97,94.50,97.75,96.10,92.49
12,Period 6,92.18,91.67,86.75,91.75,96.29,93.97,88.62
10,Period 1,87.59,86.82,79.33,72.94,75.98,74.43,59.27
10,Period 2,89.46,88.71,82.39,80.29,85.31,82.72,70.53
10,Period 3,90.83,90.51,85.28,92.02,95.63,93.79,88.31
10,Period 4,91.75,91.30,86.50,94.23,97.42,95.80,91.94
10,Period 5,91.12,90.79,85.83,95.03,97.25,96.13,92.54
10,Period 6,91.29,90.83,85.58,92.12,95.54,93.80,88.32
