selection_basis,combination,selected_features
All Classes (72),K1,"Aerosols (D6), Aerosols (D4), Aerosols (D2), Red Edge 1 (D3), Water Vapor (D3), Aerosols (D1), NIR (D2), SWIR 2 (D3), Red (D3), Aerosols (D5), Water Vapor (D2), Blue (D6), Water Vapor (D5), SWIR 1 (D6), Aerosols (D3), Water Vapor (D6), Blue (D2), Red (D6), SWIR 2 (D6), Blue (D4)"
All Classes (72),K2,"Aerosols (D6), Aerosols (D4), Red Edge 1 (D3), Water Vapor (D3), NIR (D2), SWIR 2 (D3), Red (D3), Aerosols (D5), Water Vapor (D5), SWIR 1 (D6), Aerosols (D3), Water Vapor (D6), Red (D6), SWIR 2 (D6), Blue (D4)"
All Classes (72),K3,"Blue (D4), Green (D2), Red (D1), Red Edge 1 (D3), Red Edge 2 (D5), Red Edge 3 (D6), NIR (D2), Red Edge 4 (D1), Water Vapor (D5), SWIR 1 (D5), SWIR 2 (D3)"
All Classes (72),K5,"Aerosols (D4), Blue (D5), Green (D2), Red (D1), Red Edge 1 (D3), Red Edge 2 (D5), Red Edge 3 (D6), NIR (D2), Red Edge 4 (D1), Water Vapor (D5), SWIR 1 (D5), SWIR 2 (D3)"
All Classes (60),K1,"SWIR 2 (D3), Blue (D6), Red Edge 1 (D3), NIR (D2), Red (D3), Blue (D4), SWIR 2 (D1), SWIR 1 (D6), Blue (D2), SWIR 2 (D6), SWIR 1 (D3), Red Edge 1 (D2), SWIR 2 (D4), Red (D6), Green (D2), SWIR 1 (D2), SWIR 1 (D4), Red Edge 4 (D3), Red (D5), Red (D1)"
All Classes (60),K2,"SWIR 2 (D3), Blue (D6), Red Edge 1 (D3), Red (D3), Blue (D4), SWIR 1 (D6), SWIR 2 (D6), SWIR 1 (D3), SWIR 2 (D4), Red (D6), SWIR 1 (D4), Red (D5)"
All Classes (60),K3,"Blue (D6), Green (D2), Red (D5), Red Edge 1 (D3), Red Edge 2 (D3), Red Edge 3 (D5), NIR (D2), Red Edge 4 (D3), SWIR 1 (D5), SWIR 2 (D4)"
All Classes (60),K5,"Blue (D6), Green (D2), Red (D5), Red Edge 1 (D3), Red Edge 2 (D3), Red Edge 3 (D5), NIR (D2), Red Edge 4 (D3), SWIR 1 (D5), SWIR 2 (D4)"
Hazelnut (72),K1,"Water Vapor (D2), Aerosols (D4), SWIR 1 (D3), Water Vapor (D6), SWIR 1 (D4), Aerosols (D1), SWIR 2 (D3), Red Edge 3 (D2), Red (D3), Red Edge 4 (D2), Water Vapor (D4), Aerosols (D6), Red Edge 1 (D3), SWIR 2 (D4), SWIR 1 (D1), SWIR 1 (D2), Green (D2), Aerosols (D2), Water Vapor (D5), SWIR 2 (D2)"
Hazelnut (72),K2,"Aerosols (D4), SWIR 1 (D3), Water Vapor (D6), SWIR 1 (D4), SWIR 2 (D3), Red (D3), Water Vapor (D4), Aerosols (D6), Red Edge 1 (D3), SWIR 2 (D4), Water Vapor (D5)"
Hazelnut (72),K3,"Blue (D3), Green (D6), Red (D4), Red Edge 1 (D4), Red Edge 2 (D2), Red Edge 3 (D2), NIR (D2), Red Edge 4 (D2), Water Vapor (D2), SWIR 1 (D4), SWIR 2 (D5)"
Hazelnut (72),K5,"Aerosols (D1), Water Vapor (D2), SWIR 1 (D3), Aerosols (D4), SWIR 2 (D5), Water Vapor (D6)"
Hazelnut (60),K1,"Red Edge 4 (D2), SWIR 1 (D3), Red (D3), SWIR 1 (D4), NIR (D2), Red Edge 3 (D2), SWIR 2 (D4), SWIR 2 (D2), SWIR 1 (D1), Blue (D4), Red Edge 4 (D1), Red Edge 2 (D2), Red Edge 1 (D3), Red Edge 2 (D1), SWIR 2 (D3), SWIR 1 (D6), Red Edge 1 (D2), SWIR 2 (D6), Green (D2), Green (D4)"
Hazelnut (60),K2,"SWIR 1 (D3), Red (D3), SWIR 1 (D4), Blue (D4), Red Edge 1 (D3), SWIR 2 (D3), SWIR 1 (D6), SWIR 2 (D6), Green (D4)"
Hazelnut (60),K3,"Blue (D4), Green (D5), Red (D3), Red Edge 1 (D5), Red Edge 2 (D1), Red Edge 3 (D6), NIR (D2), Red Edge 4 (D2), SWIR 1 (D3), SWIR 2 (D4)"
Hazelnut (60),K5,"SWIR 1 (D1), Red Edge 4 (D2), SWIR 1 (D3), SWIR 1 (D4), SWIR 1 (D5), SWIR 1 (D6)"
